Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp,NaOH_stock,NaOH_mole,BattLeachate_volume
0.1388,0.09479,0.1001,0.0775,0.5521,0.07673,NMC811,25,1,0.222,1
0.07928,0.02113,0.2755,0.4142,0.67,0.2658,NMC523,25,1,0.3031,1
0.06701,0.06999,0.3821,0.08723,0.2729,0.0828,NMC622,25,1,0.3925,1
0.0264,0.02693,0.06397,0.181,0.5233,0.1638,NMC622,25,1,0.4,1
0.207,0.00276,0.1401,0.7617,1.355,0.5305,NMC523,25,1,1.084,1
0.161,0.002462,0.3716,0.4157,1.213,0.38,NMC622,25,1,0.02072,1
0.2099,0.05141,0.3503,0.4007,0.9476,0.5441,NMC532,25,1,0.02295,1
0.1653,0.002507,0.09626,0.09062,0.2812,0.09221,NMC622,25,1,0.162,1
0.1724,0.02024,0.2786,0.1309,0.3911,0.1239,NMC622,25,1,0.2589,1
0.04808,0.04845,0.1097,0.5225,0.8222,0.3351,NMC523,25,1,0.1158,1
0.04604,0.01647,0.2487,0.2314,1.612,0.2179,NMC811,25,1,0.653,1
0.1686,0.07517,0.2512,0.7822,0.7708,0.7789,NMC111,25,1,0.05314,1
0.1773,0.04246,0.2908,0.1884,1.492,0.2228,NMC811,25,1,0.04693,1
0.1287,0.01508,0.1898,0.2342,0.5635,0.3576,NMC532,25,1,0.02312,1
0.009288,0.03935,0.2484,0.03794,0.309,0.03954,NMC811,25,1,1.38,1
0.1989,0.0174,0.2382,0.1078,0.9097,0.1165,NMC811,25,1,0.2378,1
0.1616,0.0276,0.03937,0.1711,0.4862,0.1597,NMC622,25,1,0.0221,1
0.01116,0.0851,0.2682,0.4311,1.308,0.462,NMC622,25,1,0.02027,1
0.06234,0.08722,0.2526,0.06929,0.1692,0.1016,NMC532,25,1,0.05342,1
0.2189,0.066,0.03023,0.7494,1.219,0.5199,NMC523,25,1,0.1664,1
0.1638,0.05119,0.09965,0.155,0.4623,0.1721,NMC622,25,1,0.05004,1
0.01126,0.08202,0.4025,0.3485,0.6385,0.2398,NMC523,25,1,0.3761,1
0.19,0.006022,0.08707,0.8818,1.626,0.5727,NMC523,25,1,0.03407,1
0.03572,0.03339,0.2312,0.242,0.6267,0.4218,NMC532,25,1,0.1388,1
0.2087,0.09745,0.2687,0.214,1.686,0.2188,NMC811,25,1,0.05277,1
0.01483,0.07035,0.411,0.2584,0.6772,0.247,NMC622,25,1,0.5378,1
0.1835,0.07205,0.1074,0.3813,1.066,0.5869,NMC532,25,1,0.362,1
0.1676,0.01607,0.1499,0.2439,0.2221,0.2399,NMC111,25,1,0.04484,1
0.09698,0.06083,0.3255,0.641,1.168,0.4771,NMC523,25,1,0.1429,1
0.03991,0.01119,0.2329,0.4091,1.204,0.4546,NMC622,25,1,0.07206,1
0.1448,0.07561,0.04039,0.5722,0.5749,0.6674,NMC111,25,1,0.1521,1
0.1908,0.04951,0.1207,0.5691,1.77,0.6108,NMC622,25,1,1.282,1
