Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp_x,NaOH_stock,NaOH_mole,BattLeachate_volume,SampleID,index,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp_y,Alk,mu,mass_H2O,charge,pct_err,Al,Fe,Cu,Co,Ni,Mn,Na,S,la_H+,la_OH-,la_SO4-2,la_Na+,la_Al+3,la_Fe+3,la_Cu+2,la_Co+2,la_Ni+2,la_Mn+2,FeAl2O4(s),d_FeAl2O4(s),Gibbsite,d_Gibbsite,Fe(OH)3(s),d_Fe(OH)3(s),Cu(OH)2(s),d_Cu(OH)2(s),Co(OH)2(s),d_Co(OH)2(s),Ni(OH)2(s),d_Ni(OH)2(s),Mn(OH)2(s),d_Mn(OH)2(s),si_FeAl2O4(s),si_Gibbsite,si_Fe(OH)3(s),si_Cu(OH)2(s),si_Co(OH)2(s),si_Ni(OH)2(s),si_Mn(OH)2(s),Solution_ID,a_Al3+,m_Al+3,a_Fe2+,m_Fe+2,a_Fe3+,m_Fe+3,a_Cu+,m_Cu+,a_Cu2+,m_Cu+2,a_Ni2+,m_Ni+2,a_Co2+,m_Co+2,a_Co3+,m_Co+3,a_Mn2+,m_Mn+2,a_Mn3+,m_Mn+3,a_Li+,m_Li+,a_Na+,m_Na+,m_AlOH2+,m_Al(OH)2+,m_AlSO4+,m_AlO2-,m_Al(SO4)2-,m_AlSO4+.1,m_FeOH+,m_Fe(OH)2,m_Fe(OH)3-,m_Fe(OH)4-,m_FeSO4+,m_FeSO4,m_CuOH+,m_CuSO4,m_CoOH+,m_CoSO4,m_Co(OH)4-2,m_NiOH+,m_Ni(OH)2,m_NiSO4,m_Ni(OH)3-,m_MnOH+,m_Mn(OH)2,m_Mn(OH)3-,m_Mn(OH)4-2,m_Al2(OH)2+4,m_Al3(OH)4+5,m_Al13O4(OH)24+7,m_Fe2(OH)2+4,m_Fe3(OH)4+5,m_Ni4(OH)4+4,m_Mn2(OH)3+,m_MnO4-,m_MnO4-2,m_H2,m_O2,m_SO4-2,m_HSO4-,m_S2O3-2,m_S2O4-2,m_S2O6-2,m_NaSO4-,m_MnSO4,m_NiSO4.1,m_CoSO4.1,m_CuSO4.1,m_H2O,m_H+,m_OH-,Description
0.1388,0.09479,0.1001,0.0775,0.5521,0.07673,NMC811,25,1,0.222,1,1,0,1,i_soln,1,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,1.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.07928,0.02113,0.2755,0.4142,0.67,0.2658,NMC523,25,1,0.3031,1,2,4,4,i_soln,2,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,2.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.06701,0.06999,0.3821,0.08723,0.2729,0.0828,NMC622,25,1,0.3925,1,3,8,7,i_soln,3,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,3.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.0264,0.02693,0.06397,0.181,0.5233,0.1638,NMC622,25,1,0.4,1,4,12,10,i_soln,4,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,4.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.207,0.00276,0.1401,0.7617,1.355,0.5305,NMC523,25,1,1.084,1,5,16,13,i_soln,5,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,5.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.161,0.002462,0.3716,0.4157,1.213,0.38,NMC622,25,1,0.02072,1,6,20,16,i_soln,6,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,6.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.2099,0.05141,0.3503,0.4007,0.9476,0.5441,NMC532,25,1,0.02295,1,7,24,19,i_soln,7,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,7.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.1653,0.002507,0.09626,0.09062,0.2812,0.09221,NMC622,25,1,0.162,1,8,28,22,i_soln,8,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,8.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.1724,0.02024,0.2786,0.1309,0.3911,0.1239,NMC622,25,1,0.2589,1,9,32,25,i_soln,9,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,9.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
0.04808,0.04845,0.1097,0.5225,0.8222,0.3351,NMC523,25,1,0.1158,1,10,36,28,i_soln,10,-99,-99,-99,7.0,4.0,-99.0,25.0,0.0,1.00037e-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-7.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,-999.999,10.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,8.3177e-26,0.0,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,1e-99,55.509,1.0004e-07,1.0004e-07,Hydrolyzed_metal_sulfate_solution
