Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp_x,NaOH_stock,NaOH_mole,BattLeachate_volume,SampleID,index,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp_y,Alk,mu,mass_H2O,charge,pct_err,Al,Fe,Cu,Co,Ni,Mn,Na,S,la_H+,la_OH-,la_SO4-2,la_Na+,la_Al+3,la_Fe+3,la_Cu+2,la_Co+2,la_Ni+2,la_Mn+2,FeAl2O4(s),d_FeAl2O4(s),Gibbsite,d_Gibbsite,Fe(OH)3(s),d_Fe(OH)3(s),Cu(OH)2(s),d_Cu(OH)2(s),Co(OH)2(s),d_Co(OH)2(s),Ni(OH)2(s),d_Ni(OH)2(s),Mn(OH)2(s),d_Mn(OH)2(s),si_FeAl2O4(s),si_Gibbsite,si_Fe(OH)3(s),si_Cu(OH)2(s),si_Co(OH)2(s),si_Ni(OH)2(s),si_Mn(OH)2(s),Solution_ID,a_Al3+,m_Al+3,a_Fe2+,m_Fe+2,a_Fe3+,m_Fe+3,a_Cu+,m_Cu+,a_Cu2+,m_Cu+2,a_Ni2+,m_Ni+2,a_Co2+,m_Co+2,a_Co3+,m_Co+3,a_Mn2+,m_Mn+2,a_Mn3+,m_Mn+3,a_Li+,m_Li+,a_Na+,m_Na+,m_AlOH2+,m_Al(OH)2+,m_AlSO4+,m_AlO2-,m_Al(SO4)2-,m_AlSO4+.1,m_FeOH+,m_Fe(OH)2,m_Fe(OH)3-,m_Fe(OH)4-,m_FeSO4+,m_FeSO4,m_CuOH+,m_CuSO4,m_CoOH+,m_CoSO4,m_Co(OH)4-2,m_NiOH+,m_Ni(OH)2,m_NiSO4,m_Ni(OH)3-,m_MnOH+,m_Mn(OH)2,m_Mn(OH)3-,m_Mn(OH)4-2,m_Al2(OH)2+4,m_Al3(OH)4+5,m_Al13O4(OH)24+7,m_Fe2(OH)2+4,m_Fe3(OH)4+5,m_Ni4(OH)4+4,m_Mn2(OH)3+,m_MnO4-,m_MnO4-2,m_H2,m_O2,m_SO4-2,m_HSO4-,m_S2O3-2,m_S2O4-2,m_S2O6-2,m_NaSO4-,m_MnSO4,m_NiSO4.1,m_CoSO4.1,m_CuSO4.1,m_H2O,m_H+,m_OH-,Description
0.1388,0.09479,0.1001,0.0775,0.5521,0.07673,NMC811,25,1,0.222,1,1,3,3,react,1,-99,0,1,3.66695,6.25905,0.22203,25.0,-0.00145099,2.08013,1.08276,1.804e-11,7.81253e-10,0.18747,0.087547,0.092476,0.071573,0.50993,0.070867,0.20506,1.2168,-3.667,-10.342,-1.4242,-1.0122,-3.234,-9.2703,-2.2436,-2.3501,-1.8594,-2.4277,0.0,0.0,0.074528,0.074528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.8475,0.0,-1.0763,-3.2676,-8.1441,-7.8434,-10.4117,1.0,0.00058345,0.072242,0.0033166,0.028237,5.3672e-10,6.6456e-08,2.1251e-06,3.6301e-06,0.0057073,0.048592,0.013822,0.11768,0.0044661,0.038024,1e-99,1e-99,0.003735,0.031799,2.0958e-22,2.595e-20,1e-99,1e-99,0.097229,0.20506,1e-99,5.4267e-07,0.059469,1e-99,1e-99,0.059469,1e-99,9.9242e-17,7.713099999999999e-26,9.8691e-17,3.4517e-07,0.024914,1e-99,0.043872,1e-99,0.033549,6.195e-34,1e-99,2.8614e-13,0.082478,1e-99,1e-99,4.8785e-18,9.524e-27,6.8299e-36,1e-99,1e-99,1e-99,4.7425e-11,2.1605e-14,2.4822e-17,2.8256e-19,0.0,0.0,1.1695e-23,0.0,0.33923,1e-99,0.0,0.0,1e-99,1e-99,0.014062,0.082478,0.033549,0.043872,55.509,0.00036777,7.6266e-11,NaOH_mixed_solution_EQ
0.07928,0.02113,0.2755,0.4142,0.67,0.2658,NMC523,25,1,0.3031,1,2,7,6,react,2,-99,0,1,3.88844,6.7277,0.3031,25.0,-0.0010458,2.72912,1.13208,1.30818e-11,4.05546e-10,0.050466,0.018663,0.24332,0.36587,0.59182,0.23482,0.26773,1.6646,-3.8884,-10.125,-1.355,-0.93847,-3.8865,-9.5326,-1.8771,-1.6949,-1.9094,-1.9633,0.0,0.0,0.10142,0.10142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.1275,0.0,-0.6861,-2.4661,-7.0539,-7.4584,-9.5123,2.0,0.00012987,0.01967,0.00061617,0.0057375,2.9336e-10,4.4432e-08,1.6797e-06,2.9341e-06,0.013272,0.12358,0.012319,0.11471,0.02019,0.188,1e-99,1e-99,0.010882,0.10132,1.7963999999999997e-21,2.7208e-19,1e-99,1e-99,0.11522,0.26773,1e-99,3.3633e-07,0.015877,1e-99,1e-99,0.015877,1e-99,5.0199e-17,6.5833e-26,4.0892e-16,2.2628e-07,0.0054286,1e-99,0.11965,1e-99,0.17788,2.2704999999999998e-32,1e-99,6.9432e-13,0.086209,1e-99,1e-99,3.8698e-17,1.2748000000000002e-25,1.6132e-34,1e-99,1e-99,1e-99,5.5192e-11,4.5768e-14,1.6608e-16,1.1019e-17,0.0,0.0,4.872e-25,0.0,0.44272,1e-99,0.0,0.0,1e-99,1e-99,0.048049,0.086209,0.17788,0.11965,55.509,0.00022585,1.2795e-10,NaOH_mixed_solution_EQ
0.06701,0.06999,0.3821,0.08723,0.2729,0.0828,NMC622,25,1,0.3925,1,3,11,9,react,3,-99,0,1,4.27241,5.67454,0.39251,25.0,-0.000292351,1.82817,1.0508,6.48259e-12,3.06252e-10,0.0030103,0.066557,0.36362,0.083012,0.25966,0.0788,0.37354,1.043,-4.2724,-9.7371,-1.3658,-0.73217,-5.0487,-10.009,-1.6689,-2.3046,-2.2291,-2.4069,0.0,0.0,0.13085,0.13085,5.2654e-05,5.2654e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7894,0.0,-0.0,-1.4831,-6.8888,-7.0033,-9.1811,3.0,8.9395e-06,0.0010021,0.0023269,0.018954,9.8019e-11,1.0987e-08,3.0662e-05,5.18e-05,0.021436,0.17461,0.0059007,0.048065,0.0049589,0.040394,1e-99,1e-99,0.003918,0.031914,5.7227e-23,6.414699999999999e-21,1e-99,1e-99,0.18528,0.37354,1e-99,1.333e-07,0.001031,1e-99,1e-99,0.001031,1e-99,1.1287e-15,3.4929e-24,4.6841e-15,7.1325e-08,0.019997,1e-99,0.18851,1e-99,0.042618,1.7294000000000001e-31,1e-99,1.9802e-12,0.040282,1e-99,1e-99,8.2957e-17,6.4488000000000005e-25,1.8012e-33,1e-99,1e-99,1e-99,2.1484e-11,2.623e-14,1.8151e-16,2.007e-17,0.0,0.0,1.0619e-23,0.0,0.389,1e-99,0.0,0.0,1e-99,1e-99,0.016876,0.040282,0.042618,0.18851,55.509,9.0224e-05,2.9901e-10,NaOH_mixed_solution_EQ
0.0264,0.02693,0.06397,0.181,0.5233,0.1638,NMC622,25,1,0.4,1,4,15,12,react,4,-99,0,1,7.48201,-1.80114,0.40002,25.0,0.0314965,1.79626,1.08574,6.88277e-11,3.30786e-09,3.7065e-08,0.00040967,0.0244,0.16675,0.48194,0.15084,0.36843,0.95622,-7.482,-6.5263,-1.4429,-0.74048,-14.681,-19.641,-6.6074,-1.9642,-1.9369,-2.0797,0.0,0.0,0.05281,0.05281,0.026487,0.026487,0.03748,0.03748,0.0,0.0,0.0,0.0,0.0,0.0,-1.5293,0.0,0.0,-0.0,-0.1268,-0.2895,-2.4323,4.0,2.0843e-15,2.3044e-13,1.6221e-05,0.00013133,2.2853e-20,2.5267e-18,0.010563,0.017817,2.4696e-07,1.9994e-06,0.011564,0.093625,0.010859,0.087914,1e-99,1e-99,0.0083233,0.067385,4.0659000000000005e-30,4.4954e-28,1e-99,1e-99,0.18177,0.36843,1e-99,8.192e-11,2.0098e-13,1e-99,1e-99,2.0098e-13,1e-99,2.0771e-11,1.0428e-16,7.5989e-12,1.3904e-17,0.00011674,1e-99,1.8187e-06,1e-99,0.078148,2.6229e-18,1e-99,1.0244e-05,0.066107,1e-99,1e-99,4.6522e-10,5.867e-15,2.6503e-20,1e-99,1e-99,1e-99,3.0085e-24,2.2299e-30,0.01821,3.8789e-07,0.0,0.0,3.6164e-15,0.0,0.32331,1e-99,1.6719e-24,0.0,1e-99,1e-99,0.030021,0.066107,0.078148,1.8187e-06,55.509,5.5598e-08,4.8531e-07,NaOH_mixed_solution_EQ
0.207,0.00276,0.1401,0.7617,1.355,0.5305,NMC523,25,1,1.084,1,5,19,15,react,5,-99,0,1,3.94914,6.99882,1.0842,25.0,-0.000992889,4.55738,1.25241,-2.38265e-09,-3.82548e-08,0.041686,0.0022041,0.1119,0.6082,1.082,0.42361,0.86568,2.7237,-3.9491,-10.071,-1.3474,-0.55986,-4.0482,-10.216,-2.2534,-1.5135,-1.7854,-1.7415,0.0,0.0,0.36181,0.36181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9472,0.0,-1.2079,-2.7345,-6.7647,-7.2266,-9.1827,5.0,8.949e-05,0.019218,6.8392e-05,0.00074373,6.0789e-11,1.3054e-08,3.7829e-07,6.8695e-07,0.00558,0.06068,0.01639,0.17823,0.030654,0.33335,1e-99,1e-99,0.018135,0.19721,5.5889e-21,1.2002e-18,1e-99,1e-99,0.27551,0.86568,1e-99,3.0881e-07,0.011574,1e-99,1e-99,0.011574,1e-99,7.1421e-18,1.1024e-26,1.4473e-16,4.9606e-08,0.00061321,1e-99,0.051197,1e-99,0.27485,6.614999999999999e-32,1e-99,1.1841e-12,0.11673,1e-99,1e-99,8.2666e-17,3.2051000000000004e-25,5.1589e-34,1e-99,1e-99,1e-99,5.6508e-12,1.7647e-15,1.5906e-15,4.6169e-17,0.0,0.0,1.057e-25,0.0,0.62072,1e-99,0.0,0.0,1e-99,1e-99,0.081492,0.11673,0.27485,0.051197,55.509,0.00020416,1.4252e-10,NaOH_mixed_solution_EQ
0.161,0.002462,0.3716,0.4157,1.213,0.38,NMC622,25,1,0.02072,1,6,23,18,react,6,-99,0,1,3.67375,7.26486,0.020723,25.0,-0.00172225,3.88068,1.19065,-1.13555e-10,-2.51276e-09,0.26409,0.0020676,0.31212,0.34913,1.0188,0.31918,0.017405,2.407,-3.6738,-10.343,-1.3311,-2.1931,-3.2319,-9.9823,-1.8048,-1.7512,-1.7044,-1.8641,0.0,0.0,0.0075896,0.0075896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.5367,0.0,-1.7903,-2.8301,-7.5466,-7.6898,-9.8495,6.0,0.00058624,0.11336,6.3514e-05,0.00065924,1.0417e-10,2.0143e-08,5.7594e-07,1.0338e-06,0.015676,0.16271,0.019751,0.205,0.017733,0.18406,1e-99,1e-99,0.013674,0.14193,7.7762e-21,1.5037e-18,1e-99,1e-99,0.00641,0.017405,1e-99,5.7113e-07,0.077806,1e-99,1e-99,0.077806,1e-99,1.8945e-18,1.5447000000000001e-27,1.9999e-17,8.7229e-08,0.00059124,1e-99,0.14932,1e-99,0.16507,2.9798e-33,1e-99,4.0757e-13,0.14604,1e-99,1e-99,1.7804e-17,3.6466e-26,3.0292e-35,1e-99,1e-99,1e-99,3.9334e-12,5.4137e-16,2.2714e-16,3.9609e-18,0.0,0.0,1.1035e-25,0.0,0.48658,1e-99,0.0,0.0,1e-99,1e-99,0.063798,0.14604,0.16507,0.14932,55.509,0.00038044,8.1406e-11,NaOH_mixed_solution_EQ
0.2099,0.05141,0.3503,0.4007,0.9476,0.5441,NMC532,25,1,0.02295,1,7,27,21,react,7,-99,0,1,3.64718,6.54901,0.022953,25.0,-0.00212712,4.01401,1.16919,5.29219e-11,1.15454e-09,0.35181,0.04397,0.29963,0.34272,0.81049,0.46536,0.019631,2.5008,-3.6472,-10.37,-1.267,-2.1382,-3.1495,-9.4162,-1.8565,-1.7929,-1.89,-1.7389,0.0,0.0,0.0084724,0.0084724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.3062,0.0,-1.3067,-2.9368,-7.6432,-7.9303,-9.7792,7.0,0.0007087,0.14014,0.0012155,0.012743,3.8351e-10,7.5839e-08,2.6578e-06,4.7825e-06,0.013917,0.14589,0.012883,0.13505,0.01611,0.16888,1e-99,1e-99,0.018243,0.19125,1.9958e-21,3.9466000000000003e-19,1e-99,1e-99,0.0072747,0.019631,1e-99,6.0993e-07,0.1093,1e-99,1e-99,0.1093,1e-99,3.195e-17,2.4515e-26,5.7318e-17,3.7321e-07,0.013116,1e-99,0.15367,1e-99,0.17384,2.1231e-33,1e-99,2.3427e-13,0.11042,1e-99,1e-99,2.0931e-17,4.0343e-26,3.1695e-35,1e-99,1e-99,1e-99,4.8892e-11,2.2327e-14,3.3222e-17,5.8462e-18,0.0,0.0,3.3699e-24,0.0,0.57003,1e-99,0.0,0.0,1e-99,1e-99,0.098662,0.11042,0.17384,0.15367,55.509,0.00040545,7.6593e-11,NaOH_mixed_solution_EQ
0.1653,0.002507,0.09626,0.09062,0.2812,0.09221,NMC622,25,1,0.162,1,8,31,24,react,8,-99,0,1,3.62252,7.00918,0.16204,25.0,-0.00175825,1.88016,1.04376,5.87114e-10,2.94349e-08,0.26444,0.0024015,0.092228,0.086817,0.26944,0.088341,0.15524,1.0144,-3.6225,-10.385,-1.369,-1.1107,-3.1051,-10.116,-2.2645,-2.2856,-2.1874,-2.3571,0.0,0.0,0.054623,0.054623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.535,0.0,-2.0507,-3.3744,-8.1655,-8.2573,-10.4271,8.0,0.0007851,0.089944,8.4142e-05,0.00069206,7.6593e-11,8.7748e-09,3.6004e-07,6.0972e-07,0.0054391,0.044736,0.0064956,0.053426,0.0051811,0.042614,1e-99,1e-99,0.0043941,0.036141,1.3869e-21,1.5889000000000002e-19,1e-99,1e-99,0.077495,0.15524,1e-99,5.9396e-07,0.090103,1e-99,1e-99,0.090103,1e-99,2.0657e-18,1.4417e-27,9.3989e-18,5.5463e-08,0.00071787,1e-99,0.047485,1e-99,0.044203,4.6736e-34,1e-99,1.1032e-13,0.04402,1e-99,1e-99,4.7089e-18,8.2552e-27,5.2252e-36,1e-99,1e-99,1e-99,6.9018e-13,3.4061e-17,7.0976e-19,2.8813e-19,0.0,0.0,4.535300000000001e-25,0.0,0.36711,1e-99,0.0,0.0,1e-99,1e-99,0.018789,0.04402,0.044203,0.047485,55.509,0.00040389,6.8802e-11,NaOH_mixed_solution_EQ
0.1724,0.02024,0.2786,0.1309,0.3911,0.1239,NMC622,25,1,0.2589,1,9,35,27,react,9,-99,0,1,3.66058,6.74719,0.25892,25.0,-0.00181442,2.45954,1.06352,7.44622e-11,2.76692e-09,0.24249,0.01903,0.262,0.12306,0.36772,0.11655,0.24346,1.3747,-3.6606,-10.35,-1.3222,-0.95276,-3.2104,-9.5234,-1.8543,-2.1772,-2.1457,-2.2805,0.0,0.0,0.086946,0.086946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5985,-0.0,-1.3531,-2.894,-7.9869,-8.1454,-10.2803,9.0,0.00061607,0.08649,0.0006017,0.0054169,2.9962e-10,4.2064e-08,1.6926e-06,2.9319e-06,0.013988,0.12593,0.0071501,0.06437,0.0066502,0.05987,1e-99,1e-99,0.0052417,0.047189,9.050299999999999e-22,1.2706e-19,1e-99,1e-99,0.11149,0.24346,1e-99,5.6037e-07,0.08055,1e-99,1e-99,0.08055,1e-99,1.7363e-17,1.3438e-26,5.1959e-17,2.4718e-07,0.0057177,1e-99,0.13602,1e-99,0.063195,9.0719e-34,1e-99,1.4274e-13,0.05397,1e-99,1e-99,6.6027e-18,1.2836e-26,9.426299999999999e-36,1e-99,1e-99,1e-99,1.7819e-11,4.9549e-15,2.0665e-18,5.344500000000001e-19,0.0,0.0,1.2719e-24,0.0,0.4586,1e-99,0.0,0.0,1e-99,1e-99,0.024964,0.05397,0.063195,0.13602,55.509,0.00037845,7.568e-11,NaOH_mixed_solution_EQ
0.04808,0.04845,0.1097,0.5225,0.8222,0.3351,NMC523,25,1,0.1158,1,10,39,30,react,10,-99,0,1,3.88529,6.36563,0.11579,25.0,-0.00102033,2.67454,1.16689,8.4053e-10,2.65836e-08,0.048991,0.041524,0.094035,0.44777,0.70464,0.28714,0.099234,1.6987,-3.8853,-10.127,-1.3855,-1.367,-3.8781,-9.5255,-2.2737,-1.5911,-1.7755,-1.8576,0.0,0.0,0.038991,0.038991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7653,-0.0,-0.6874,-2.8683,-6.9557,-7.3301,-9.4122,10.0,0.00013242,0.019764,0.0014417,0.013338,2.982e-10,4.451e-08,1.5514e-06,2.7056e-06,0.0053253,0.049266,0.016769,0.15513,0.02564,0.2372,1e-99,1e-99,0.013881,0.12841,9.955e-22,1.4859000000000002e-19,1e-99,1e-99,0.042956,0.099234,1e-99,3.3796e-07,0.015065,1e-99,1e-99,0.015065,1e-99,1.1595e-16,1.5083000000000002e-25,4.044e-16,2.1406e-07,0.01184,1e-99,0.044753,1e-99,0.21057,2.7917e-32,1e-99,9.3301e-13,0.10939,1e-99,1e-99,4.8729e-17,1.5923000000000002e-25,1.9923e-34,1e-99,1e-99,1e-99,5.4852e-11,4.498e-14,5.4148e-16,1.7557e-17,0.0,0.0,2.6191000000000002e-24,0.0,0.39136,1e-99,0.0,0.0,1e-99,1e-99,0.057133,0.10939,0.21057,0.044753,55.509,0.00022712,1.289e-10,NaOH_mixed_solution_EQ
