Al_sulfate_mol,Fe_sulfate_mol,Cu_sulfate_mol,Co_sulfate_mol,Ni_sulfate_mol,Mn_sulfate_mol,chem,temp_x,NaOH_stock,NaOH_mole,BattLeachate_volume,SampleID,index,sim,state,soln,dist_x,time,step,pH,pe,reaction,temp_y,Alk,mu,mass_H2O,charge,pct_err,Al,Fe,Cu,Co,Ni,Mn,Na,S,la_H+,la_OH-,la_SO4-2,la_Na+,la_Al+3,la_Fe+3,la_Cu+2,la_Co+2,la_Ni+2,la_Mn+2,FeAl2O4(s),d_FeAl2O4(s),Gibbsite,d_Gibbsite,Fe(OH)3(s),d_Fe(OH)3(s),Cu(OH)2(s),d_Cu(OH)2(s),Co(OH)2(s),d_Co(OH)2(s),Ni(OH)2(s),d_Ni(OH)2(s),Mn(OH)2(s),d_Mn(OH)2(s),si_FeAl2O4(s),si_Gibbsite,si_Fe(OH)3(s),si_Cu(OH)2(s),si_Co(OH)2(s),si_Ni(OH)2(s),si_Mn(OH)2(s),Solution_ID,a_Al3+,m_Al+3,a_Fe2+,m_Fe+2,a_Fe3+,m_Fe+3,a_Cu+,m_Cu+,a_Cu2+,m_Cu+2,a_Ni2+,m_Ni+2,a_Co2+,m_Co+2,a_Co3+,m_Co+3,a_Mn2+,m_Mn+2,a_Mn3+,m_Mn+3,a_Li+,m_Li+,a_Na+,m_Na+,m_AlOH2+,m_Al(OH)2+,m_AlSO4+,m_AlO2-,m_Al(SO4)2-,m_AlSO4+.1,m_FeOH+,m_Fe(OH)2,m_Fe(OH)3-,m_Fe(OH)4-,m_FeSO4+,m_FeSO4,m_CuOH+,m_CuSO4,m_CoOH+,m_CoSO4,m_Co(OH)4-2,m_NiOH+,m_Ni(OH)2,m_NiSO4,m_Ni(OH)3-,m_MnOH+,m_Mn(OH)2,m_Mn(OH)3-,m_Mn(OH)4-2,m_Al2(OH)2+4,m_Al3(OH)4+5,m_Al13O4(OH)24+7,m_Fe2(OH)2+4,m_Fe3(OH)4+5,m_Ni4(OH)4+4,m_Mn2(OH)3+,m_MnO4-,m_MnO4-2,m_H2,m_O2,m_SO4-2,m_HSO4-,m_S2O3-2,m_S2O4-2,m_S2O6-2,m_NaSO4-,m_MnSO4,m_NiSO4.1,m_CoSO4.1,m_CuSO4.1,m_H2O,m_H+,m_OH-,Description
0.1388,0.09479,0.1001,0.0775,0.5521,0.07673,NMC811,25,1,0.222,1,1,2,2,react,1,-99,0,1,6.0117,4.41788,0.22203,25.0,0.204215,2.16074,1.08279,2.08991e-11,8.63108e-10,0.25629,0.087544,0.092473,0.071571,0.50991,0.070865,0.20505,1.2168,-6.0117,-7.9977,-1.4109,-1.0162,-3.32,-11.123,-2.3307,-2.3594,-1.8783,-2.4376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7246,6.9468,4.1035,1.3338,-3.4648,-3.1738,-5.7331,1.0,0.00047859,0.060993,0.0032268,0.027827,7.5274e-12,9.5932e-10,0.00012061,0.00020669,0.0046695,0.040269,0.013233,0.11412,0.0043715,0.037699,1e-99,1e-99,0.0036507,0.031483,2.9530000000000003e-24,3.7633999999999996e-22,1e-99,1e-99,0.096348,0.20494,1e-99,0.0218,0.050469,1e-99,1e-99,0.050469,1e-99,4.7134e-12,8.1198e-19,3.3091e-09,5.0085e-09,0.024998,1e-99,0.037018,1e-99,0.033867,1.4637e-24,1e-99,1.3373e-08,0.081434,1e-99,1e-99,2.3278e-13,1.0073000000000001e-19,1.6115e-26,1e-99,1e-99,1e-99,4.7935e-10,1.5388e-10,5.2312e-08,2.921e-12,0.0,0.0,1.1504e-24,0.0,0.35435,1e-99,0.0,0.0,1e-99,1e-99,0.014175,0.081434,0.033867,0.037018,55.509,1.6648e-06,1.6905e-08,NaOH_mixed_solution
0.07928,0.02113,0.2755,0.4142,0.67,0.2658,NMC523,25,1,0.3031,1,2,6,5,react,2,-99,0,1,6.13814,4.76614,0.3031,25.0,0.267108,2.872,1.13211,2.04898e-11,6.04093e-10,0.14005,0.018662,0.24331,0.36586,0.59181,0.23481,0.26773,1.6645,-6.1381,-7.875,-1.3404,-0.94411,-3.75,-11.51,-2.1242,-1.7057,-1.9326,-1.9747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1264,6.885,4.0849,1.7857,-2.5657,-2.9827,-5.0248,2.0,0.00017785,0.027941,0.00059402,0.005622,3.0899e-12,4.8545e-10,8.7019e-05,0.00015263,0.007512,0.071096,0.011678,0.11052,0.019692,0.18637,1e-99,1e-99,0.0106,0.10032,1.9117999999999998e-23,3.0034999999999998e-21,1e-99,1e-99,0.11373,0.26758,1e-99,0.014589,0.022578,1e-99,1e-99,0.022578,1e-99,1.5267e-12,3.5707e-19,4.304e-09,2.475e-09,0.0054127,1e-99,0.070044,1e-99,0.17944,2.2402e-23,1e-99,2.0764e-08,0.084523,1e-99,1e-99,1.1892e-12,6.986300000000001e-19,1.5896000000000001e-25,1e-99,1e-99,1e-99,2.0616e-10,5.8924e-11,1.4246e-07,5.8822e-11,0.0,0.0,1.2925e-25,0.0,0.46539,1e-99,0.0,0.0,1e-99,1e-99,0.048407,0.084523,0.17944,0.070044,55.509,1.2732e-06,2.2819e-08,NaOH_mixed_solution
0.06701,0.06999,0.3821,0.08723,0.2729,0.0828,NMC622,25,1,0.3925,1,3,10,8,react,3,-99,0,1,6.15032,4.52367,0.39251,25.0,0.372172,2.07181,1.05081,3.36243e-11,1.41767e-09,0.12753,0.066606,0.36361,0.083011,0.25966,0.078799,0.37353,1.043,-6.1503,-7.8593,-1.3353,-0.74348,-3.7765,-11.189,-2.014,-2.3294,-2.2798,-2.4327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7489,6.9057,4.4535,1.9275,-3.158,-3.2984,-5.4513,3.0,0.00016731,0.020653,0.0021762,0.018503,6.4771e-12,7.9954e-10,0.00019605,0.00033477,0.0096835,0.082332,0.00525,0.044637,0.0046836,0.039822,1e-99,1e-99,0.0036925,0.031395,3.8106000000000004e-24,4.703899999999999e-22,1e-99,1e-99,0.18052,0.37327,1e-99,0.014366,0.020923,1e-99,1e-99,0.020923,1e-99,6.0135e-12,1.4198e-18,1.0153e-08,5.1106e-09,0.020064,1e-99,0.091357,1e-99,0.043181,5.533e-24,1e-99,1.0036e-08,0.038447,1e-99,1e-99,4.454e-13,2.6415e-19,5.7505e-26,1e-99,1e-99,1e-99,6.3436e-10,3.2107e-10,4.3816e-09,7.7476e-12,0.0,0.0,3.7326000000000003e-25,0.0,0.43555,1e-99,0.0,0.0,1e-99,1e-99,0.017062,0.038447,0.043181,0.091357,55.509,1.2051e-06,2.2812e-08,NaOH_mixed_solution
0.0264,0.02693,0.06397,0.181,0.5233,0.1638,NMC622,25,1,0.4,1,4,14,11,react,4,-99,0,1,7.5497,2.33522,0.40002,25.0,0.365214,1.91822,1.08574,8.27872e-11,3.7656e-09,0.04864,0.024805,0.05892,0.16675,0.48194,0.15084,0.36843,0.95622,-7.5497,-6.459,-1.4369,-0.73898,-8.831,-13.744,-3.9735,-1.973,-1.9796,-2.0874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4715,6.0521,6.0989,2.7685,-0.0009,-0.1976,-2.3054,4.0,1.4758e-09,1.7171e-07,0.0009345,0.0077394,1.8022e-14,2.097e-12,0.00033209,0.00056336,0.00010629,0.00088025,0.01048,0.086796,0.010642,0.088132,1e-99,1e-99,0.0081764,0.067716,5.4675e-26,6.3617e-24,1e-99,1e-99,0.1824,0.36751,1e-99,7.9542e-05,1.4509e-07,1e-99,1e-99,1.4509e-07,1e-99,1.6317e-09,9.6202e-15,1.1205e-05,1.118e-11,0.0068182,1e-99,0.00079354,1e-99,0.077643,4.889e-18,1e-99,1.266e-05,0.060738,1e-99,1e-99,6.2317e-10,9.2292e-15,4.952e-20,1e-99,1e-99,1e-99,2.7936e-12,2.3431e-12,0.025009,5.9941e-07,0.0,0.0,1.4131e-23,0.0,0.33521,1e-99,0.0,0.0,1e-99,1e-99,0.029899,0.060738,0.077643,0.00079354,55.509,4.7448e-08,5.6998e-07,NaOH_mixed_solution
0.207,0.00276,0.1401,0.7617,1.355,0.5305,NMC523,25,1,1.084,1,5,18,14,react,5,-99,0,1,6.42504,4.73922,1.0842,25.0,0.865415,4.77856,1.25243,-2.21058e-09,-3.35868e-08,0.33057,0.0022041,0.1119,0.60819,1.0819,0.4236,0.86566,2.7237,-6.425,-7.5966,-1.3438,-0.55516,-3.8899,-12.492,-2.5779,-1.5185,-1.7944,-1.7462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1523,7.5802,3.9378,1.8888,-1.8218,-2.2877,-4.2395,5.0,0.00012886,0.028517,6.5846e-05,0.00072568,3.2192e-13,7.1243e-11,3.2577e-05,5.9356e-05,0.0026432,0.029131,0.016056,0.17695,0.030303,0.33397,1e-99,1e-99,0.01794,0.19772,3.0412e-23,6.730299999999999e-21,1e-99,1e-99,0.27851,0.86221,1e-99,0.039571,0.016862,1e-99,1e-99,0.016862,1e-99,6.0987e-13,2.8129e-19,6.0496e-09,2.6579e-10,0.00059534,1e-99,0.024455,1e-99,0.27398,5.2134e-22,1e-99,1.0288e-07,0.11531,1e-99,1e-99,7.2533e-12,8.4032e-18,4.0688e-24,1e-99,1e-99,1e-99,1.4828e-11,2.2415e-12,1.2157e-05,1.1975e-09,0.0,0.0,3.9037e-26,0.0,0.63375,1e-99,0.0,0.0,1e-99,1e-99,0.081294,0.11531,0.27398,0.024455,55.509,6.7141e-07,4.2601e-08,NaOH_mixed_solution
0.161,0.002462,0.3716,0.4157,1.213,0.38,NMC622,25,1,0.02072,1,6,22,17,react,6,-99,0,1,5.21995,6.32312,0.020723,25.0,0.0173688,3.89858,1.19069,-1.4087e-10,-3.10297e-09,0.27046,0.0020676,0.31211,0.34912,1.0188,0.31917,0.017404,2.4069,-5.22,-8.7965,-1.3289,-2.1942,-3.2418,-10.927,-1.8151,-1.7526,-1.7076,-1.8656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8097,4.6287,1.9031,0.2519,-4.4556,-4.6006,-6.7586,6.0,0.00057305,0.11115,6.3023e-05,0.00065504,1.182e-11,2.2927e-09,4.9175e-06,8.8296e-06,0.015306,0.15909,0.019606,0.20378,0.017676,0.18372,1e-99,1e-99,0.013627,0.14163,8.8616e-22,1.7188000000000001e-19,1e-99,1e-99,0.0063946,0.017404,1e-99,0.00069084,0.076471,1e-99,1e-99,0.076471,1e-99,2.3254e-15,6.6708e-23,3.4737e-12,9.9524e-09,0.00058968,1e-99,0.14655,1e-99,0.16539,4.5513e-27,1e-99,5.0049e-10,0.14572,1e-99,1e-99,2.1948e-14,1.5814999999999998e-21,4.6254e-29,1e-99,1e-99,1e-99,6.2993e-11,1.2207e-12,3.3934e-10,1.7119e-13,0.0,0.0,6.821300000000001e-27,1.4104999999999998e-40,0.48974,1e-99,0.0,0.0,1e-99,1e-99,0.063902,0.14572,0.16539,0.14655,55.509,1.082e-05,2.8641e-09,NaOH_mixed_solution
0.2099,0.05141,0.3503,0.4007,0.9476,0.5441,NMC532,25,1,0.02295,1,7,26,20,react,7,-99,0,1,5.22947,5.64707,0.022953,25.0,0.0194805,4.03464,1.16925,1.15452e-11,2.50536e-10,0.35904,0.043968,0.29962,0.34271,0.81046,0.46534,0.01963,2.5006,-5.2295,-8.7879,-1.2643,-2.1393,-3.1602,-10.321,-1.866,-1.7946,-1.894,-1.7408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3283,4.7362,2.5357,0.2183,-4.4804,-4.7698,-6.6165,7.0,0.00069158,0.13722,0.0012088,0.012691,4.7799e-11,9.4843e-09,2.0748e-05,3.7348e-05,0.013616,0.14295,0.012764,0.13401,0.016047,0.16848,1e-99,1e-99,0.018166,0.19072,2.4907e-22,4.942e-20,1e-99,1e-99,0.0072552,0.01963,1e-99,0.00086964,0.10736,1e-99,1e-99,0.10736,1e-99,4.6405e-14,1.3612999999999998e-21,1.5245e-11,4.6817e-08,0.013124,1e-99,0.15127,1e-99,0.17422,4.5182000000000005e-27,1e-99,3.3901e-10,0.11008,1e-99,1e-99,3.0441e-14,2.2430999999999998e-21,6.7425e-29,1e-99,1e-99,1e-99,1.116e-09,9.3082e-11,6.8711e-11,3.2367e-13,0.0,0.0,1.4687e-25,0.0,0.57438,1e-99,0.0,0.0,1e-99,1e-99,0.098844,0.11008,0.17422,0.15127,55.509,1.0612e-05,2.9283e-09,NaOH_mixed_solution
0.1653,0.002507,0.09626,0.09062,0.2812,0.09221,NMC622,25,1,0.162,1,8,30,23,react,8,-99,0,1,5.90615,5.32787,0.16204,25.0,0.155131,1.96773,1.0438,6.49381e-12,3.0864e-10,0.31676,0.0024014,0.092225,0.086814,0.26943,0.088338,0.15524,1.0143,-5.9061,-8.1017,-1.3525,-1.1154,-3.1803,-11.815,-2.3204,-2.2974,-2.2116,-2.3697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5638,6.7745,3.0993,1.1362,-3.6108,-3.7151,-5.8731,8.0,0.00066029,0.078353,8.0662e-05,0.00067389,1.5295e-12,1.8149e-10,1.5197e-05,2.5837e-05,0.0047824,0.039954,0.0061432,0.051324,0.0050425,0.042128,1e-99,1e-99,0.004269,0.035665,2.8067e-23,3.3305999999999998e-21,1e-99,1e-99,0.076657,0.15519,1e-99,0.018482,0.079012,1e-99,1e-99,0.079012,1e-99,7.298e-14,9.816299999999999e-21,2.5591e-10,1.1548e-09,0.00071474,1e-99,0.043363,1e-99,0.044681,6.275100000000001e-25,1e-99,3.8453e-09,0.043239,1e-99,1e-99,1.686e-13,5.6965e-20,7.0034e-27,1e-99,1e-99,1e-99,1.0797e-11,4.0616e-13,8.2098e-10,1.9317e-12,0.0,0.0,2.8311e-26,0.0,0.38728,1e-99,0.0,0.0,1e-99,1e-99,0.018959,0.043239,0.044681,0.043363,55.509,2.108e-06,1.326e-08,NaOH_mixed_solution
0.1724,0.02024,0.2786,0.1309,0.3911,0.1239,NMC622,25,1,0.2589,1,9,34,26,react,9,-99,0,1,5.96473,5.00617,0.25892,25.0,0.242979,2.61416,1.06356,7.95441e-11,2.77183e-09,0.32423,0.01903,0.26199,0.12306,0.3677,0.11654,0.24345,1.3747,-5.9647,-8.0461,-1.3016,-0.95992,-3.2564,-11.284,-1.9997,-2.192,-2.1782,-2.2963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7213,6.8653,3.7975,1.5681,-3.3942,-3.5704,-5.6885,9.0,0.00055409,0.081343,0.00057486,0.0052791,5.1968e-12,7.6292e-10,6.6696e-05,0.0001161,0.010006,0.09189,0.0066345,0.060926,0.0064271,0.059022,1e-99,1e-99,0.0050548,0.04642,1.5845e-23,2.3260999999999998e-21,1e-99,1e-99,0.10967,0.24335,1e-99,0.020519,0.07633,1e-99,1e-99,0.07633,1e-99,6.7203e-13,1.0521000000000001e-19,1.4864e-09,4.517e-09,0.0057271,1e-99,0.10201,1e-99,0.06403,1.4678e-24,1e-99,5.3658e-09,0.052502,1e-99,1e-99,2.5795e-13,1.0144e-19,1.5218e-26,1e-99,1e-99,1e-99,2.3512e-10,4.8038e-11,2.7218e-09,4.0729e-12,0.0,0.0,9.5102e-26,0.0,0.49042,1e-99,0.0,0.0,1e-99,1e-99,0.025239,0.052502,0.06403,0.10201,55.509,1.8853e-06,1.5308e-08,NaOH_mixed_solution
0.04808,0.04845,0.1097,0.5225,0.8222,0.3351,NMC523,25,1,0.1158,1,10,38,29,react,10,-99,0,1,6.09179,4.49526,0.11579,25.0,0.0985909,2.71501,1.16691,4.18694e-09,1.30152e-07,0.082404,0.041523,0.094033,0.44776,0.70463,0.28714,0.099232,1.6987,-6.0918,-7.921,-1.3807,-1.3686,-3.9154,-11.401,-2.3783,-1.5945,-1.7825,-1.8612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8056,6.5816,4.0556,1.4398,-2.5465,-2.9245,-5.0032,10.0,0.00012149,0.018332,0.0014232,0.01323,3.9676e-12,5.9868e-10,9.0464e-05,0.00015796,0.0041854,0.038908,0.016499,0.15338,0.025438,0.23647,1e-99,1e-99,0.013766,0.12797,1.3306e-23,2.0078e-21,1e-99,1e-99,0.042796,0.099207,1e-99,0.0080292,0.013993,1e-99,1e-99,0.013993,1e-99,2.9601e-12,6.2002e-19,3.6032e-09,2.8833e-09,0.011818,1e-99,0.035565,1e-99,0.21123,1.8613999999999998e-23,1e-99,2.3742e-08,0.10883,1e-99,1e-99,1.2498e-12,6.5756e-19,1.3279e-25,1e-99,1e-99,1e-99,2.5603e-10,7.3035e-11,3.4606e-07,7.1901e-11,0.0,0.0,5.5704e-25,0.0,0.39763,1e-99,0.0,0.0,1e-99,1e-99,0.05729,0.10883,0.21123,0.035565,55.509,1.4119e-06,2.0755e-08,NaOH_mixed_solution
